type,sourcename,sourceversion,creationdate,start_time,end_time,LABEL,HKTimeZone
HKCategoryTypeIdentifierSleepAnalysis,An ? Apple?atch,10.6.1,12/13/2024 7:54,12/12/2024 23:48,12/13/2024 0:03,AsleepCore,Asia/Ho_Chi_Minh
HKCategoryTypeIdentifierSleepAnalysis,An ? Apple?atch,10.6.1,12/13/2024 7:54,12/13/2024 0:03,12/13/2024 0:27,AsleepDeep,Asia/Ho_Chi_Minh
HKCategoryTypeIdentifierSleepAnalysis,An ? Apple?atch,10.6.1,12/13/2024 7:54,12/13/2024 0:27,12/13/2024 0:29,AsleepCore,Asia/Ho_Chi_Minh
HKCategoryTypeIdentifierSleepAnalysis,An ? Apple?atch,10.6.1,12/13/2024 7:54,12/13/2024 0:29,12/13/2024 0:38,AsleepDeep,Asia/Ho_Chi_Minh
HKCategoryTypeIdentifierSleepAnalysis,An ? Apple?atch,10.6.1,12/13/2024 7:54,12/12/2024 23:48,12/13/2024 0:38,InBed,Asia/Ho_Chi_Minh
HKCategoryTypeIdentifierSleepAnalysis,An ? Apple?atch,10.6.1,12/13/2024 7:54,12/13/2024 0:38,12/13/2024 0:39,Awake,Asia/Ho_Chi_Minh
HKCategoryTypeIdentifierSleepAnalysis,An ? Apple?atch,10.6.1,12/13/2024 7:54,12/13/2024 0:39,12/13/2024 1:00,AsleepCore,Asia/Ho_Chi_Minh
HKCategoryTypeIdentifierSleepAnalysis,An ? Apple?atch,10.6.1,12/13/2024 7:54,12/13/2024 1:00,12/13/2024 1:07,AsleepDeep,Asia/Ho_Chi_Minh
HKCategoryTypeIdentifierSleepAnalysis,An ? Apple?atch,10.6.1,12/13/2024 7:54,12/13/2024 1:07,12/13/2024 1:18,AsleepCore,Asia/Ho_Chi_Minh
HKCategoryTypeIdentifierSleepAnalysis,An ? Apple?atch,10.6.1,12/13/2024 7:54,12/13/2024 1:18,12/13/2024 1:27,AsleepDeep,Asia/Ho_Chi_Minh
HKCategoryTypeIdentifierSleepAnalysis,An ? Apple?atch,10.6.1,12/13/2024 7:54,12/13/2024 1:27,12/13/2024 1:50,AsleepCore,Asia/Ho_Chi_Minh
HKCategoryTypeIdentifierSleepAnalysis,An ? Apple?atch,10.6.1,12/13/2024 7:54,12/13/2024 1:50,12/13/2024 2:31,AsleepREM,Asia/Ho_Chi_Minh
HKCategoryTypeIdentifierSleepAnalysis,An ? Apple?atch,10.6.1,12/13/2024 7:54,12/13/2024 2:31,12/13/2024 2:40,AsleepCore,Asia/Ho_Chi_Minh
